index,store_ID,day_of_week,date,nb_customers_on_day,open,promotion,state_holiday,school_holiday,sales predictions
272371,415,6,2015-03-01,0,0,0,0,0,0.0
558468,27,6,2013-12-29,0,0,0,0,0,0.0
76950,404,2,2014-03-19,657,1,1,0,0,6138.48
77556,683,1,2013-01-29,862,1,0,0,0,7876.43
456344,920,2,2014-03-19,591,1,1,0,0,5953.79
436466,758,3,2014-06-26,569,1,0,0,0,4216.63
646251,563,0,2015-02-16,321,1,1,0,0,3888.1
650464,930,5,2014-11-22,1367,1,0,0,0,7547.96
162710,756,3,2015-06-04,0,0,1,1,0,0.0
100327,49,1,2015-01-13,546,1,1,0,0,8025.240833333332
374540,787,3,2015-07-23,968,1,0,0,1,8155.15
399143,782,3,2013-09-19,472,1,0,0,0,4372.84
44740,897,6,2014-04-20,0,0,0,0,0,0.0
674144,933,0,2013-12-09,965,1,0,0,0,8552.41
81595,218,1,2015-04-07,804,1,0,0,1,5955.59
416724,554,2,2013-10-09,499,1,1,0,1,4262.86
632687,362,0,2013-08-12,1337,1,1,0,1,12379.24
351899,655,2,2014-04-09,560,1,0,0,0,5837.84
515940,785,2,2014-12-31,461,1,0,0,1,4884.24
567411,690,2,2014-03-19,866,1,1,0,0,6692.203333333334
274598,1103,6,2015-02-15,0,0,0,0,0,0.0
417880,431,0,2014-06-02,1367,1,1,0,0,15094.89
453710,127,1,2013-09-24,642,1,1,0,0,6856.85
597622,579,4,2013-03-29,0,0,1,1,1,0.0
223346,248,5,2013-08-03,1139,1,0,0,0,8280.51
630018,962,5,2014-01-11,0,0,0,0,0,0.0
355860,224,1,2013-03-26,515,1,1,0,1,7016.87
360080,208,2,2013-06-19,355,1,1,0,1,2836.49
129544,401,0,2015-03-30,1063,1,1,0,0,12221.93
422545,503,6,2013-09-29,0,0,0,0,0,0.0
174199,221,3,2015-03-05,562,1,1,0,0,5789.396
118613,268,6,2014-11-02,0,0,0,0,0,0.0
60310,799,1,2013-08-27,927,1,1,0,1,10262.21
328458,260,5,2014-10-25,894,1,0,0,0,6537.62
200661,1041,1,2015-03-10,594,1,0,0,0,4785.51
179581,350,1,2013-06-18,533,1,1,0,0,7651.13
587612,286,6,2015-04-05,0,0,0,0,0,0.0
320169,620,1,2013-06-04,709,1,1,0,0,8024.81
37194,521,0,2013-06-17,484,1,1,0,0,6512.01
685427,649,3,2014-11-27,435,1,1,0,0,4399.64
125422,1059,1,2015-06-02,1239,1,1,0,0,9931.14
24499,486,5,2014-06-28,373,1,0,0,0,2903.7
281806,252,3,2013-10-17,642,1,0,0,0,7797.18
540511,656,2,2013-05-15,421,1,1,0,0,3640.095
28689,642,4,2014-09-12,394,1,0,0,0,2952.89
165066,655,4,2015-05-08,761,1,1,0,0,9245.93
555963,992,2,2013-06-26,627,1,0,0,0,4938.91
610614,143,1,2015-06-02,731,1,1,0,0,8455.84
64013,421,4,2014-07-18,941,1,1,0,1,9556.02
30639,246,3,2014-10-02,1157,1,1,0,0,9398.148000000001
418604,960,0,2014-04-28,720,1,1,0,0,9017.362666666666
468037,313,4,2014-01-17,697,1,0,0,0,6681.8
271589,291,5,2013-06-29,534,1,0,0,0,5265.94
77924,924,5,2014-05-31,333,1,0,0,0,3031.73
247149,337,1,2013-08-13,430,1,1,0,1,5873.25
576822,1024,3,2015-03-12,607,1,0,0,0,4290.68
108538,56,2,2014-01-22,402,1,1,0,0,6030.95
645670,507,2,2014-04-09,532,1,0,0,0,5936.03
601663,970,4,2013-03-15,406,1,0,0,0,3131.69
502588,846,1,2015-06-23,828,1,0,0,0,7530.92
66732,549,2,2014-08-27,582,1,0,0,0,4694.19
627113,1095,3,2013-03-28,852,1,1,0,1,8304.48
691184,859,4,2013-04-12,709,1,1,0,0,7049.420833333334
467913,914,1,2014-07-29,1178,1,1,0,1,10653.71
304890,888,1,2015-06-23,634,1,0,0,0,6151.08
274018,442,1,2014-11-04,517,1,1,0,0,5763.31
644430,34,5,2013-03-09,905,1,0,0,0,7468.4
669009,199,3,2014-07-10,581,1,0,0,0,6630.16
518722,854,3,2015-06-04,657,1,1,1,0,6669.74
505976,611,1,2014-01-21,485,1,1,0,0,6106.57
291572,808,3,2015-04-09,528,1,0,0,1,5476.13
39071,1105,3,2015-01-22,410,1,0,0,0,3508.08
319154,866,4,2015-04-24,445,1,0,0,0,5897.89
166603,222,5,2013-09-28,367,1,0,0,0,3245.6975
428262,476,1,2013-09-24,753,1,1,0,0,7399.91
20314,800,0,2014-05-26,494,1,0,0,0,4603.57
603091,330,0,2014-03-24,408,1,0,0,0,3466.39
500421,507,2,2015-01-07,648,1,1,0,0,7981.23
388016,98,6,2013-06-02,0,0,0,0,0,0.0
268257,1026,1,2014-01-28,1044,1,0,0,0,7121.03
216326,990,4,2013-10-04,719,1,0,0,0,6434.73
40755,8,5,2015-01-10,345,1,0,0,0,2915.07
8654,611,2,2013-07-31,566,1,1,0,1,6454.495500000001
37301,257,1,2013-08-13,777,1,1,0,0,7576.87
485623,840,3,2015-04-16,1189,1,1,0,0,8620.12
214073,848,4,2015-07-31,998,1,1,0,1,9467.76
406145,124,5,2014-07-12,297,1,0,0,0,2512.535
397642,1028,1,2013-12-31,438,1,0,0,1,3806.23
273960,95,1,2013-09-24,1099,1,1,0,0,10022.0
12104,208,0,2013-10-28,323,1,0,0,0,2117.3
361202,249,1,2014-07-08,449,1,0,0,0,3871.8041666666663
79347,887,2,2013-03-20,614,1,1,0,0,7256.62
462803,73,0,2014-04-28,601,1,1,0,1,6242.58
141713,13,3,2015-04-02,501,1,1,0,1,5709.83
703618,1049,1,2013-09-03,580,1,0,0,1,3570.79
308360,144,3,2015-02-05,769,1,1,0,0,8423.65
317995,847,2,2013-08-14,1018,1,1,0,1,7475.71
364408,796,2,2013-05-08,717,1,0,0,0,7049.31
27886,396,3,2015-06-11,1139,1,0,0,0,9241.54
706814,1080,6,2013-09-15,0,0,0,0,0,0.0
514516,675,4,2014-09-26,338,1,0,0,0,2863.78
577373,1099,0,2014-12-01,1236,1,1,0,0,12296.45
190561,791,0,2015-05-11,858,1,0,0,0,7289.5
92512,1014,1,2015-03-24,1476,1,0,0,0,11857.18
565163,487,1,2014-11-04,737,1,1,0,0,8258.49
500246,427,2,2013-02-13,701,1,0,0,1,5971.13
223708,254,4,2014-11-14,282,1,1,0,0,3423.48
555732,43,4,2014-01-31,710,1,0,0,0,6606.05
654150,1074,1,2015-06-09,421,1,0,0,0,3575.54
558350,549,5,2013-06-29,380,1,0,0,0,3541.725
52167,1095,1,2013-01-08,720,1,1,0,0,5625.72
296981,295,0,2013-10-28,612,1,0,0,1,4139.07
332143,319,0,2013-10-14,863,1,0,0,1,7492.47
426553,1002,3,2014-04-10,642,1,0,0,0,5470.96
481847,448,5,2014-12-06,544,1,0,0,0,6550.983333333333
100496,527,1,2013-09-03,1046,1,0,0,1,10463.38
706377,255,4,2013-04-12,652,1,1,0,0,5770.47
